input,output
Tom doesn't know what Mary wants to eat for dinner.,Tom no sabe qué quiere Mary para cenar.
Tom doesn't know what he did to make Mary so angry.,Tom no sabe qué hizo para hacer enojar tanto a Mary.
Tom doesn't know what to buy Mary for her birthday.,Tom no sabe qué regalo comprar a Mary para su cumpleaños.
Tom doesn't know what to buy Mary for her birthday.,Tom no sabé qué comprarle a Mary por su cumpleaños.
Tom doesn't know why Mary didn't come to the party.,Tom no sabe por qué María no vino a la fiesta.
Tom doesn't live very far from where that happened.,Tom no vive muy lejos de donde ocurrió.
Tom doesn't live very far from where that happened.,Tom no vive muy lejos de donde ocurrió eso.
Tom doesn't live very far from where that happened.,Tom no vive muy lejos de donde ocurrió aquello.
Tom doesn't need to go there if he doesn't want to.,Tom no necesita ir si no quiere.
Tom doesn't understand why Mary got angry with him.,Tom no entiende por qué Mary se enfadó con él.
Tom doesn't understand why Mary got angry with him.,Tom no entiende por qué Mary se enojó con él.
Tom doubts if Mary will come to his birthday party.,Tom duda si Mary acudirá a su fiesta de cumpleaños.
"Tom dressed himself quickly, then ran out the door.","Tom se vistió rápidamente, luego salió corriendo por la puerta."
Tom drew a happy face on the cover of his notebook.,Tom dibujó una cara feliz en la cubierta de su cuaderno.
Tom fell in love with his best friend's girlfriend.,Tom se enamoró de la novia de su mejor amigo.
Tom felt that he needed to explain why he was late.,Tom sintió que necesitaba explicar por qué venía atrasado.
Tom finally figured out what he'd been doing wrong.,Tom finalmente se dio cuenta de lo que había estado haciendo mal.
Tom followed the stream for a couple of kilometers.,Tom siguió el arroyo por un par de kilómetros.
Tom found what he was looking for on the top shelf.,Tom encontró lo que andaba buscando en la estantería superior.
Tom framed the photograph and hung it over the bed.,Tom enmarcó la fotografía y la colgó sobre la cama.
"Tom had a chance to do that, but he decided not to.","Tom tuvo la oportunidad de hacer eso, pero decidió no hacerlo."
Tom had completely forgotten about it the next day.,Tom se había olvidado por completo al día siguiente.
Tom had drunk too much coffee so he couldn't sleep.,Tom tomó mucho café así que no pudo dormir.
Tom had drunk too much coffee so he couldn't sleep.,Tom había bebido demasiado café así que no pudo dormir.
Tom handed Mary a check for half a million dollars.,Tom le pasó a Mary un cheque por un millón de dólares.
Tom has a pretty good idea why Mary isn't here now.,Tom tiene una muy buena idea acerca de por qué Mary no está aquí ahora.
Tom has been encouraging his students to read more.,Tom ha estado animando a sus alumnos a leer más.
Tom has been out of town for the last three months.,Tom ha estado fuera de la ciudad durante los últimos tres meses.
Tom has been watching Mary like a hawk all morning.,Tom ha estado observando a Mary como un halcón toda la mañana.
Tom has told me that same joke more than ten times.,Tom ha dicho la misma broma más de diez veces.
Tom hasn't been able to get in touch with Mary yet.,Tom no ha podido contactarse con Mary aún.
Tom is a picky eater and seldom tries anything new.,Tom es quisquilloso y rara vez prueba algo nuevo.
Tom is only given fifteen minutes to eat his lunch.,Tom solo tiene quince minutos para almorzar.
Tom is perfectly capable of taking care of himself.,Tom es perfectamente capaz de cuidar de sí mismo.
Tom is planning a surprise birthday party for Mary.,Tom está planeando una fiesta de cumpleaños sorpresa para Mary.
Tom is staying well ahead of the rest of the class.,Tom está muy por delante del resto de la clase.
Tom is the one responsible for what happened today.,Tom es el responsable de lo que ha ocurrido hoy.
Tom is the one responsible for what happened today.,Tom es el responsable de lo que ocurrió hoy.
Tom is the only person Mary knows who enjoys opera.,Tom es la única persona que Mary conoce que disfruta de la ópera.
Tom is thirteen and still sleeps with a teddy bear.,Tom tiene trece años y aún duerme con un osito de peluche.
Tom is too drunk to drive. Could you take him home?,Tom está demasiado borracho para manejar. ¿Vos lo podrías llevar a su casa?
Tom is very proud of both his son and his daughter.,Tom está muy orgulloso tanto de su hijo como de su hija.
Tom knew Mary wouldn't be able to convince anybody.,Tom sabía que María no sería capaz de convencer a nadie.
Tom likes listening to the radio when he's driving.,A Tom le gusta escuchar la radio mientras está manejando.
Tom locked the door after he entered his apartment.,Tom le puso llave a la puerta después de entrar a su departamento.
Tom looks like he's too tired to help us right now.,Tom parece estar demasiado cansado para ayudarnos en este momento.
Tom met Mary by chance on his way home from school.,Tom se encontró con María por casualidad de camino a casa desde la escuela.
Tom might be better at French than you think he is.,Tom puede ser mejor en inglés de lo que tú piensas que él es.
Tom never did regain his memory after the accident.,Tom nunca recuperó su memoria después del accidente.
Tom noticed that Mary was having trouble breathing.,Tom notó que a Mary le costaba respirar.
Tom offered to feed my cat while I was out of town.,Tom ofreció alimentar a mi gato mientras yo estaba fuera de la ciudad.
Tom opened his suitcase and took out a clean shirt.,Tom abrió su valija y sacó una camisa limpia.
Tom opened the door and asked Mary if she was busy.,Tom abrió la puerta y le preguntó a Mary si estaba ocupada.
Tom rolled over and snoozed for another 15 minutes.,Tom se dio la vuelta y se dio otros 15 minutos de siesta.
Tom ruined the surprise by talking about the party.,Tom arruinó la sorpresa al hablar de la fiesta.
Tom said he didn't know what he was supposed to do.,Tom dijo que él no sabía lo que tenía que hacer.
Tom said he was at home on the night of the murder.,Tom dijo que estaba en casa la noche del asesinato.
Tom said he wished he hadn't left the windows open.,Tom dijo que desearía no haber dejado abiertas las ventanas.
Tom says he doesn't think it's possible to do that.,Tom dice que no cree que sea posible hacer eso.
Tom says he's planning to go to Boston this winter.,Tomás dice que tiene planes de ir a Boston este invierno.
Tom says he's planning to go to Boston this winter.,Tomás dice que está pensando en ir a Boston este invierno.
Tom seemed surprised when he saw Mary kissing John.,Tom parecía sorprendido de ver a Mary besando a John.
Tom sold his car to Mary for three hundred dollars.,Tom le vendió su carro a Mary por trescientos dólares.
Tom sold the necklace to Mary for a very low price.,Tom vendió el collar de Mary a un muy bajo precio.
Tom spends much more time with Mary than John does.,Tom pasa mucho más tiempo con Mary que John.
Tom spread some strawberry jam on a slice of bread.,Tom untó un poco de mermelada de fresa sobre una rebanada de pan.
Tom stopped talking when Mary walked into the room.,"Cuando María entró en el cuarto, Tom dejó de hablar."
Tom talked Mary into going to the concert with him.,Tom convenció a Mary de ir al concierto con él.
Tom threw the drugs into the toilet and flushed it.,Tom tiró las drogas al retrete y tiró de la cadena.
Tom told Mary that she could do whatever she liked.,Tom le dijo a Mary que podía hacer lo que sea que le gustara.
Tom took off his helmet and wiped off his forehead.,Tom se quitó el casco y se refregó la frente.
Tom took off his socks and threw them on the floor.,Tom se quitó los calcetines y los arrojó al piso.
Tom tried to prevent Mary from going to the police.,Tom trató de impedir que Mary fuera a la Policía.
Tom usually takes a shower before eating breakfast.,Tom suele darse una ducha antes de desayunar.
Tom usually takes a shower before eating breakfast.,Tom suele ducharse antes de desayunar.
Tom very often takes a nap for an hour after lunch.,Tom muy a menudo toma una siesta por una hora después del almuerzo.
Tom waited under the tree until it stopped raining.,Tom aguardó bajo el árbol hasta que dejó de llover.
Tom walked out of the bar with a smile on his face.,Tom salió del bar con una sonrisa en su rostro.
Tom wanted to spend the rest of his life with Mary.,Tom quería pasar el resto de su vida con Mary.
Tom wants to forgive his father for abandoning him.,Tom quiere perdonar a su padre por abandonarlo.
Tom was advised by Mary not to go there by himself.,María le aconsejó a Tom que no fuera ahí solo.
Tom was busy and didn't have a chance to eat lunch.,Tom estaba ocupado y no tuvo oportunidad de almorzar.
"Tom was hungry, so he asked Mary to cook something.","Tom tenía hambre, así que le pidió a Mary que cocinara algo."
Tom was running around the streets drunk and naked.,Tomás corría borracho y desnudo por las calles.
Tom was whistling a song his mother had taught him.,Tom estaba silbando una canción que su madre le enseñó.
Tom wasn't allowed to tell Mary everything he knew.,Tom no tenía permitido decirle a Mary todo lo que sabía.
Tom watched a Japanese movie with French subtitles.,Tom vio una película japonesa con subtítulos en francés.
Tom will be staying with his cousin over Christmas.,Tom se va a quedar con su primo durante la Navidad.
Tom will probably tell Mary to look out the window.,Tom probablemente le dirá a Mary que mire por la ventana.
Tom will remember this weekend as long as he lives.,Tom recordará este fin de semana por el resto de su vida.
Tom will try to convince Mary to accept your offer.,Tom tratará de convencer a Mary de que acepte tu oferta.
Tom won't permit Mary to go to the party with John.,Tom no dejará a María ir a la fiesta con John.
Tom wondered how many times Mary had been arrested.,Tom se preguntaba cuántas veces María había sido arrestada.
Tom wondered how soon Mary would have dinner ready.,Tom se preguntaba cuán pronto María tendría lista la cena.
"Tom worked as a PE teacher, not a personal trainer.","Tom trabajó de profesor de educación física, no de entrenador personal."
Tom's decision to get married surprised his family.,La decisión de casarse de Tom sorprendió a su familia.
Tom's family sold their farm and moved to the city.,La familia de Tom vendió su granja y se trasladó a la ciudad.
Tomorrow I'm going to meet my girlfriend's parents.,Mañana voy a conocer a los padres de mi novia.
Twist that knob to the right and the box will open.,Gira aquella perilla hacia la derecha y la caja se abrirá.
Uranium is used in the production of nuclear power.,El uranio se utiliza en la producción de energía nuclear.
"Water is liquid. When it freezes, it becomes solid.","El agua es un líquido. Cuando se congela, se vuelve sólido."
"We Germans fear God, but nothing else in the world.","Nosotros los alemanes tememos a Dios, pero a nada más en este mundo."
We are forty kilometers away from the capital city.,Estamos a cuarenta kilómetros de la capital.
We are never as happy nor as unhappy as we imagine.,Nunca somos tan felices o tan infelices como imaginamos.
We dissected a frog to examine its internal organs.,Diseccionamos una rana para examinar sus órganos internos.
We estimate the damages to be one thousand dollars.,Estimamos los daños en mil dólares.
We had to put off the meeting because of the storm.,Tuvimos que posponer la reunión a causa de la tormenta.
We have to be prepared to cope with violent storms.,Debemos estar preparados para enfrentarnos a tormentas violentas.
We have to find the right person for each position.,Tenemos que encontrar a la persona adecuada para cada puesto.
We must take into account the fact that she is old.,Debemos tener en cuenta el hecho de que ella es mayor.
We only believe in those who believe in themselves.,Solo creemos en los que creen en sí mismos.
We saw many unusual plants in the botanical garden.,En el jardín botánico vimos muchas plantas exóticas.
We stopped talking so that we could hear the music.,Dejamos de hablar para poder oír la música.
We translated the novel from Japanese into English.,Tradujimos la novela del japonés al inglés.
We wandered aimlessly around the shopping district.,Dimos vueltas sin rumbo por el barrio comercial.
We were taught that World War II broke out in 1939.,Se nos enseñó que la Segunda Guerra Mundial estalló en 1939.
We were thinking of asking you to join our company.,Pensábamos en preguntarle si no querría unirse a nuestra compañía.
We will welcome whoever wants to come to the party.,Recibiremos a cualquier persona que quiera venir a la fiesta.
We're starting to question what we thought we knew.,Nos estamos empezando a cuestionar lo que creíamos saber.
We're thinking about putting our house up for sale.,Estamos pensando en poner nuestra casa en venta.
Wealthy older men often marry younger trophy wives.,Hombres ricos suelen casarse con jóvenes mujeres trofeo.
Were you going to the train station when I saw you?,¿Ibas camino a la estación de trenes cuando te vi?
What do you think of the idea of making a bus trip?,¿Qué te parece la idea de ir de viaje en bus?
What have you bought your girlfriend for Christmas?,¿Qué le has comprado a tu novia por Navidad?
What have you done with the watch I bought for you?,¿Qué has hecho con el reloj que te he comprado?
What kind of person would treat their pet that way?,¿Qué tipo de persona trataría a su mascota de esa forma?
What should I do if I'm attacked by a grizzly bear?,¿Qué debería hacer si me ataca un oso grizzly?
What should I do to find a suitable job for myself?,¿Qué debo hacer para encontrar un trabajo adecuado para mí?
What state did you visit and how long did you stay?,¿Qué estado visitaste y cuánto tiempo te quedaste allí?
What's sauce for the goose is sauce for the gander.,"Lo que es bueno para ella, también es bueno para mí."
What's sauce for the goose is sauce for the gander.,"Lo que es bueno para la gansa, también lo es para el ganso."
What's sauce for the goose is sauce for the gander.,"Lo que es bueno para uno, es bueno para otro."
What's sauce for the goose is sauce for the gander.,"Lo que vale para ti, también vale para mí."
What's the difference between a village and a town?,¿Cuál es la diferencia entre una villa y un pueblo?
What's the difference between a village and a town?,¿Cuál es la diferencia entre un pueblo y una ciudad?
What's the good of having a car if you don't drive?,¿Para qué quieres un coche si no lo conduces?
What's the most important part of a good education?,¿Cuál es la parte más importante de una buena educación?
What's the number of the fax machine in this hotel?,¿Qué número tiene el fax de este hotel?
"When I came home, my sister was playing the guitar.","Cuando vine a casa, mi hermana estaba tocando la guitarra."
"When I entered the room, she was playing the piano.","Cuando entré a la habitación, ella estaba tocando el piano."
"When I realized it was raining, I took my umbrella.",Tomé mi paraguas en cuanto me di cuenta de que estaba lloviendo.
"When I see you, you always remind me of my brother.",Siempre que te veo me recuerdas a mi hermano.
"When I see you, you always remind me of my brother.","Cuando te veo, siempre me recuerdas a mi hermano."
"When I told him that, he was very much embarrassed.",Cuando se lo dije se azaró mucho.
"Whenever I try to get near her, she pushes me away.","Siempre que intento acercarme a ella, me aparta."
"Whether rains or not, the game is going to be held.",Se va a celebrar el partido tanto si llueve como si no.
"Whether you like it or not, the job has to be done.","El trabajo debe hacerse, se quiera o no."
"Whether you like it or not, you must do it at once.","Tanto si te gusta como si no, debes hacerlo ahora mismo."
"Which do you like better, the sea or the mountains?",¿Qué preferís? ¿El mar o la montaña?
Who was that girl you were with at the beach today?,¿Quién era esa chica con la que estabas hoy en la playa?
Who was that sitting in front of you at the movies?,¿Quién estaba sentado delante de usted en el cine?
Why do you think Tom prefers living in the country?,¿Por qué piensas que Tom prefiere vivir en el campo?
Why is it so difficult to learn a foreign language?,¿Por qué es tan difícil aprender un idioma extranjero?
Why would your opinion be more important than mine?,¿Por qué va a ser tu opinión más importante que la mía?
Why would your opinion be more important than mine?,¿Por qué debería ser tu opinión más importante que la mía?
Why would your opinion be more important than mine?,¿Por qué tu opinión sería más importante que la mía?
"With a little more effort, he would have succeeded.",Con un poco más de esfuerzo él lo hubiera conseguido.
"With a little more effort, he would have succeeded.","Si se hubiera esforzado un poco más, hubiera tenido éxito."
"Without your consent, nothing can be done about it.","Sin tu consentimiento, no se puede hacer nada al respecto."
Would you like to go out to have a drink somewhere?,¿Te gustaría que nos fuéramos a tomar una copa en alguna parte?
Would you like to go out to have a drink somewhere?,¿Te gustaría salir a tomar algo a alguna parte?
Would you like to hear the story about Paul Bunyan?,¿Te gustaría oír la historia de Paul Bunyan?
Would you like to hear the story about Paul Bunyan?,¿Os gustaría oír la historia de Paul Bunyan?
Would you mind giving me a ride to the post office?,¿Le importaría darme un aventón a la oficina de correos?
"Yes, I love you, which is why I have to let you go.","Sí, te quiero, por eso tengo que dejarte."
You are working too hard. Take it easy for a while.,Estás trabajando demasiado duro. Relájate un rato.
You are working too hard. Take it easy for a while.,Estás trabajando demasiado. Relájate un tiempo.
You are working too hard. Take it easy for a while.,Estás trabajando muy duro. Tómelo con calma por un tiempo.
You are working too hard. Take it easy for a while.,Creo que será mejor que te pongas a dieta.
You came here because you wanted to know the truth.,Viniste aquí porque querías saber la verdad.
You came here because you wanted to know the truth.,Viniste aquí porque querías averiguar la verdad.
You can make a cake with flour and milk and an egg.,"Puedes hacer una tarta con harina, leche y un huevo."
You can't enter that bookstore with your shirt off.,No puedes entrar en la librería sin camiseta.
You can't learn a language without making mistakes.,No puedes aprender un idioma sin cometer errores.
You don't have to do anything you don't want to do.,No tenés que hacer nada que no quieras hacer.
You don't have to get married if you don't want to.,No tenés que casarte si no querés.
You don't have to get married if you don't want to.,No tienes que casarte si no quieres.
You don't have to read it if you're not interested.,No tienes que leerlo si no te interesa.
You had better make the most of your opportunities.,Sería mejor que aprovecharas al máximo tus oportunidades.
"You have only a short rest, so make the best of it.","Tienes sólo un pequeño descanso, así que disfrútalo."
