pregunta,respuesta
abacus,"a table or tray strewn with sand, anciently used for drawing, calculating, etc.-a calculating table or frame; an instrument for performing arithmetical calculations by balls sliding on wires, or counters in grooves, the lowest line representing units, the second line, tens, etc. it is still employed in china.-the uppermost member or division of the capital of a column, immediately under the architrave. see column.-a tablet, panel, or compartment in ornamented or mosaic work.-a board, tray, or table, divided into perforated compartments, for holding cups, bottles, or the like; a kind of cupboard, buffet, or sideboard."
abacuses,of abacus
abada,the rhinoceros.
abaddon,"the destroyer, or angel of the bottomless pit; -- the same as apollyon and asmodeus.-hell; the bottomless pit."
abaft,"behind; toward the stern from; as, abaft the wheelhouse.-toward the stern; aft; as, to go abaft."
abaisance,obeisance.
abaiser,ivory black or animal charcoal.
abaist,abashed; confounded; discomfited.
abalienate,to transfer the title of from one to another; to alienate.-to estrange; to withdraw.-to cause alienation of (mind).
abalienation,the act of abalienating; alienation; estrangement.
abalone,"a univalve mollusk of the genus haliotis. the shell is lined with mother-of-pearl, and used for ornamental purposes; the sea-ear. several large species are found on the coast of california, clinging closely to the rocks."
aband,to abandon.-to banish; to expel.
abandon,"to cast or drive out; to banish; to expel; to reject.-to give up absolutely; to forsake entirely ; to renounce utterly; to relinquish all connection with or concern on; to desert, as a person to whom one owes allegiance or fidelity; to quit; to surrender.-reflexively: to give (one's self) up without attempt at self-control; to yield (one's self) unrestrainedly; -- often in a bad sense.-to relinquish all claim to; -- used when an insured person gives up to underwriters all claim to the property covered by a policy, which may remain after loss or damage by a peril insured against.-abandonment; relinquishment.-a complete giving up to natural impulses; freedom from artificial constraint; careless freedom or ease."
abandoned,"of abandon-forsaken, deserted.-self-abandoned, or given up to vice; extremely wicked, or sinning without restraint; irreclaimably wicked ; as, an abandoned villain."
abandonedly,unrestrainedly.
abandonee,one to whom anything is legally abandoned.
abandoner,one who abandons.
abandoning,of abandon
abandonment,"the act of abandoning, or the state of being abandoned; total desertion; relinquishment.-the relinquishment by the insured to the underwriters of what may remain of the property insured after a loss or damage by a peril insured against.-the relinquishment of a right, claim, or privilege, as to mill site, etc.-the voluntary leaving of a person to whom one is bound by a special relation, as a wife, husband, or child; desertion.-careless freedom or ease; abandon."
abandum,anything forfeited or confiscated.
abanet,see abnet.
abanga,"a west indian palm; also the fruit of this palm, the seeds of which are used as a remedy for diseases of the chest."
abannation,alt. of abannition
abannition,banishment.
abarticulation,"articulation, usually that kind of articulation which admits of free motion in the joint; diarthrosis."
abase,"to lower or depress; to throw or cast down; as, to abase the eye.-to cast down or reduce low or lower, as in rank, office, condition in life, or estimation of worthiness; to depress; to humble; to degrade."
abased,"of abase-lowered; humbled.-borne lower than usual, as a fess; also, having the ends of the wings turned downward towards the point of the shield."
abasedly,abjectly; downcastly.
abasement,"the act of abasing, humbling, or bringing low; the state of being abased or humbled; humiliation."
abaser,"he who, or that which, abases."
abash,"to destroy the self-possession of; to confuse or confound, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to put to shame; to disconcert; to discomfit."
abashed,of abash
abashedly,in an abashed manner.
abashing,of abash
abashment,the state of being abashed; confusion from shame.
abasing,of abase
abassi,alt. of abassis
abassis,"a silver coin of persia, worth about twenty cents."
abatable,"capable of being abated; as, an abatable writ or nuisance."
abate,"to beat down; to overthrow.-to bring down or reduce from a higher to a lower state, number, or degree; to lessen; to diminish; to contract; to moderate; to cut short; as, to abate a demand; to abate pride, zeal, hope.-to deduct; to omit; as, to abate something from a price.-to blunt.-to reduce in estimation; to deprive.-to bring entirely down or put an end to; to do away with; as, to abate a nuisance, to abate a writ.-to diminish; to reduce. legacies are liable to be abated entirely or in proportion, upon a deficiency of assets.-to decrease, or become less in strength or violence; as, pain abates, a storm abates.-to be defeated, or come to naught; to fall through; to fail; as, a writ abates.-abatement."
abated,of abate
abatement,"the act of abating, or the state of being abated; a lessening, diminution, or reduction; removal or putting an end to; as, the abatement of a nuisance is the suppression thereof.-the amount abated; that which is taken away by way of reduction; deduction; decrease; a rebate or discount allowed.-a mark of dishonor on an escutcheon.-the entry of a stranger, without right, into a freehold after the death of the last possessor, before the heir or devisee."
abater,"one who, or that which, abates."
abating,of abate
abatis,alt. of abattis
abatised,provided with an abatis.
abator,"one who abates a nuisance.-a person who, without right, enters into a freehold on the death of the last possessor, before the heir or devisee."
abattis,"a means of defense formed by felled trees, the ends of whose branches are sharpened and directed outwards, or against the enemy."
abattoir,"a public slaughterhouse for cattle, sheep, etc."
abattoirs,of abattoir
abature,grass and sprigs beaten or trampled down by a stag passing through them.
abatvoix,the sounding-board over a pulpit or rostrum.
abawed,astonished; abashed.
abaxial,alt. of abaxile
abaxile,away from the axis or central line; eccentric.
abay,barking; baying of dogs upon their prey. see bay.
abb,"among weavers, yarn for the warp. hence, abb wool is wool for the abb."
abb wool,see abb.
abba,"father; religious superior; -- in the syriac, coptic, and ethiopic churches, a title given to the bishops, and by the bishops to the patriarch."
abbacies,of abbacy
abbacy,"the dignity, estate, or jurisdiction of an abbot."
abbatial,"belonging to an abbey; as, abbatial rights."
abbatical,abbatial.
abbe,"the french word answering to the english abbot, the head of an abbey; but commonly a title of respect given in france to every one vested with the ecclesiastical habit or dress."
abbess,"a female superior or governess of a nunnery, or convent of nuns, having the same authority over the nuns which the abbots have over the monks. see abbey."
abbey,"a monastery or society of persons of either sex, secluded from the world and devoted to religion and celibacy; also, the monastic building or buildings.-the church of a monastery."
abbeys,of abbey
abbot,the superior or head of an abbey.-one of a class of bishops whose sees were formerly abbeys.
abbotship,the state or office of an abbot.
abbreviate,"to make briefer; to shorten; to abridge; to reduce by contraction or omission, especially of words written or spoken.-to reduce to lower terms, as a fraction.-abbreviated; abridged; shortened.-having one part relatively shorter than another or than the ordinary type.-an abridgment."
abbreviated,of abbreviate-shortened; relatively short; abbreviate.
abbreviating,of abbreviate
abbreviation,"the act of shortening, or reducing.-the result of abbreviating; an abridgment.-the form to which a word or phrase is reduced by contraction and omission; a letter or letters, standing for a word or phrase of which they are a part; as, gen. for genesis; u.s.a. for united states of america.-one dash, or more, through the stem of a note, dividing it respectively into quavers, semiquavers, or demi-semiquavers."
abbreviator,"one who abbreviates or shortens.-one of a college of seventy-two officers of the papal court whose duty is to make a short minute of a decision on a petition, or reply of the pope to a letter, and afterwards expand the minute into official form."
abbreviatory,serving or tending to abbreviate; shortening; abridging.
abbreviature,an abbreviation; an abbreviated state or form.-an abridgment; a compendium or abstract.
abdal,a religious devotee or dervish in persia.
abderian,given to laughter; inclined to foolish or incessant merriment.
abderite,"an inhabitant of abdera, in thrace."
abdest,purification by washing the hands before prayer; -- a mohammedan rite.
abdicable,capable of being abdicated.
abdicant,abdicating; renouncing; -- followed by of.-one who abdicates.
abdicate,"to surrender or relinquish, as sovereign power; to withdraw definitely from filling or exercising, as a high office, station, dignity; as, to abdicate the throne, the crown, the papacy.-to renounce; to relinquish; -- said of authority, a trust, duty, right, etc.-to reject; to cast off.-to disclaim and expel from the family, as a father his child; to disown; to disinherit.-to relinquish or renounce a throne, or other high office or dignity."
abdicated,of abdicate
abdicating,of abdicate
abdication,"the act of abdicating; the renunciation of a high office, dignity, or trust, by its holder; commonly the voluntary renunciation of sovereign power; as, abdication of the throne, government, power, authority."
abdicative,"causing, or implying, abdication."
abdicator,one who abdicates.
abditive,having the quality of hiding.
abditory,a place for hiding or preserving articles of value.
abdomen,"the belly, or that part of the body between the thorax and the pelvis. also, the cavity of the belly, which is lined by the peritoneum, and contains the stomach, bowels, and other viscera. in man, often restricted to the part between the diaphragm and the commencement of the pelvis, the remainder being called the pelvic cavity.-the posterior section of the body, behind the thorax, in insects, crustaceans, and other arthropoda."
abdominal,"of or pertaining to the abdomen; ventral; as, the abdominal regions, muscles, cavity.-having abdominal fins; belonging to the abdominales; as, abdominal fishes.-a fish of the group abdominales."
abdominales,"of abdominal-a group including the greater part of fresh-water fishes, and many marine ones, having the ventral fins under the abdomen behind the pectorals."
abdominalia,a group of cirripeds having abdominal appendages.
abdominals,of abdominal
abdominoscopy,examination of the abdomen to detect abdominal disease.
abdominothoracic,"relating to the abdomen and the thorax, or chest."
abdominous,having a protuberant belly; pot-bellied.
abduce,to draw or conduct away; to withdraw; to draw to a different part.
abduced,of abduce
abducing,of abduce
abduct,"to take away surreptitiously by force; to carry away (a human being) wrongfully and usually by violence; to kidnap.-to draw away, as a limb or other part, from its ordinary position."
abducted,of abduct
abducting,of abduct
abduction,"the act of abducing or abducting; a drawing apart; a carrying away.-the movement which separates a limb or other part from the axis, or middle line, of the body.-the wrongful, and usually the forcible, carrying off of a human being; as, the abduction of a child, the abduction of an heiress.-a syllogism or form of argument in which the major is evident, but the minor is only probable."
abductor,"one who abducts.-a muscle which serves to draw a part out, or form the median line of the body; as, the abductor oculi, which draws the eye outward."
abeam,"on the beam, that is, on a line which forms a right angle with the ship's keel; opposite to the center of the ship's side."
abear,to bear; to behave.-to put up with; to endure.
abearance,behavior.
abearing,behavior.
abecedarian,"one who is learning the alphabet; hence, a tyro.-one engaged in teaching the alphabet.-alt. of abecedary"
abecedary,"pertaining to, or formed by, the letters of the alphabet; alphabetic; hence, rudimentary.-a primer; the first principle or rudiment of anything."
abed,"in bed, or on the bed.-to childbed (in the phrase ""brought abed,"" that is, delivered of a child)."
abegge,same as aby.
abele,the white poplar (populus alba).
abelian,alt. of abelonian
abelite,alt. of abelonian
abelmosk,"an evergreen shrub (hibiscus -- formerly abelmoschus -- moschatus), of the east and west indies and northern africa, whose musky seeds are used in perfumery and to flavor coffee; -- sometimes called musk mallow."
abelonian,"one of a sect in africa (4th century), mentioned by st. augustine, who states that they married, but lived in continence, after the manner, as they pretended, of abel."
aber-de-vine,"the european siskin (carduelis spinus), a small green and yellow finch, related to the goldfinch."
aberr,to wander; to stray.
aberrance,alt. of aberrancy
aberrancy,"state of being aberrant; a wandering from the right way; deviation from truth, rectitude, etc."
aberrant,wandering; straying from the right way.-deviating from the ordinary or natural type; exceptional; abnormal.
aberrate,to go astray; to diverge.
aberration,"the act of wandering; deviation, especially from truth or moral rectitude, from the natural state, or from a type.-a partial alienation of reason.-a small periodical change of position in the stars and other heavenly bodies, due to the combined effect of the motion of light and the motion of the observer; called annual aberration, when the observer's motion is that of the earth in its orbit, and daily or diurnal aberration, when of the earth on its axis; amounting when greatest, in the former case, to 20.4'', and in the latter, to 0.3''. planetary aberration is that due to the motion of light and the motion of the planet relative to the earth.-the convergence to different foci, by a lens or mirror, of rays of light emanating from one and the same point, or the deviation of such rays from a single focus; called spherical aberration, when due to the spherical form of the lens or mirror, such form giving different foci for central and marginal rays; and chromatic aberration, when due to different refrangibilities of the colored rays of the spectrum, those of each color having a distinct focus.-the passage of blood or other fluid into parts not appropriate for it.-the producing of an unintended effect by the glancing of an instrument, as when a shot intended for a glances and strikes b."
aberrational,characterized by aberration.
aberuncate,to weed out.
aberuncator,a weeding machine.
abet,"to instigate or encourage by aid or countenance; -- used in a bad sense of persons and acts; as, to abet an ill-doer; to abet one in his wicked courses; to abet vice; to abet an insurrection.-to support, uphold, or aid; to maintain; -- in a good sense.-to contribute, as an assistant or instigator, to the commission of an offense.-act of abetting; aid."
abetment,"the act of abetting; as, an abetment of treason, crime, etc."
abettal,abetment.
abetted,of abet
abetter,alt. of abettor
abetting,of abet
abettor,one who abets; an instigator of an offense or an offender.
abevacuation,a partial evacuation.
abeyance,expectancy; condition of being undetermined.-suspension; temporary suppression.
abeyancy,abeyance.
abeyant,being in a state of abeyance.
abhal,the berries of a species of cypress in the east indies.
abhominable,abominable.
abhominal,inhuman.
abhor,"to shrink back with shuddering from; to regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity; to loathe.-to fill with horror or disgust.-to protest against; to reject solemnly.-to shrink back with horror, disgust, or dislike; to be contrary or averse; -- with"
abhorred,of abhor
abhorrence,extreme hatred or detestation; the feeling of utter dislike.
abhorrency,abhorrence.
abhorrent,"abhorring; detesting; having or showing abhorrence; loathing; hence, strongly opposed to; as, abhorrent thoughts.-contrary or repugnant; discordant; inconsistent; -- followed by to.-detestable."
abhorrently,with abhorrence.
abhorrer,one who abhors.
abhorrible,detestable.
abhorring,of abhor-detestation.-object of abhorrence.
abib,"the first month of the jewish ecclesiastical year, corresponding nearly to our april. after the babylonish captivity this month was called nisan."
abid,of abide
abidance,the state of abiding; abode; continuance; compliance (with).
abide,"to wait; to pause; to delay.-to stay; to continue in a place; to have one's abode; to dwell; to sojourn; -- with with before a person, and commonly with at or in before a place.-to remain stable or fixed in some state or condition; to continue; to remain.-to wait for; to be prepared for; to await; to watch for; as, i abide my time.-to endure; to sustain; to submit to.-to bear patiently; to tolerate; to put up with.-to stand the consequences of; to answer for; to suffer for."
abider,"one who abides, or continues.-one who dwells; a resident."
abiding,of abide-continuing; lasting.
abidingly,permanently.
abies,"a genus of coniferous trees, properly called fir, as the balsam fir and the silver fir. the spruces are sometimes also referred to this genus."
abietene,a volatile oil distilled from the resin or balsam of the nut pine (pinus sabiniana) of california.
abietic,"of or pertaining to the fir tree or its products; as, abietic acid, called also sylvic acid."
abietin,alt. of abietine
abietine,"a resinous obtained from strasburg turpentine or canada balsam. it is without taste or smell, is insoluble in water, but soluble in alcohol (especially at the boiling point), in strong acetic acid, and in ether."
abietinic,"of or pertaining to abietin; as, abietinic acid."
abietite,"a substance resembling mannite, found in the needles of the common silver fir of europe (abies pectinata)."
abigail,a lady's waiting-maid.
abiliment,habiliment.
abilities,of ability
ability,"the quality or state of being able; power to perform, whether physical, moral, intellectual, conventional, or legal; capacity; skill or competence in doing; sufficiency of strength, skill, resources, etc.; -- in the plural, faculty, talent."
abime,alt. of abyme
abiogenesis,"the supposed origination of living organisms from lifeless matter; such genesis as does not involve the action of living parents; spontaneous generation; -- called also abiogeny, and opposed to biogenesis."
abiogenetic,of or pertaining to abiogenesis.
abiogenist,one who believes that life can be produced independently of antecedent.
abiogenous,produced by spontaneous generation.
abiogeny,same as abiogenesis.
abiological,pertaining to the study of inanimate things.
abirritant,a medicine that diminishes irritation.
abirritate,to diminish the sensibility of; to debilitate.
abirritation,a pathological condition opposite to that of irritation; debility; want of strength; asthenia.
abirritative,characterized by abirritation or debility.
abit,3d sing. pres. of abide.
abject,"cast down; low-lying.-sunk to a law condition; down in spirit or hope; degraded; servile; groveling; despicable; as, abject posture, fortune, thoughts.-to cast off or down; hence, to abase; to degrade; to lower; to debase.-a person in the lowest and most despicable condition; a castaway."
abjectedness,a very abject or low condition; abjectness.
abjection,the act of bringing down or humbling.-the state of being rejected or cast out.-a low or downcast state; meanness of spirit; abasement; degradation.
abjectly,meanly; servilely.
abjectness,the state of being abject; abasement; meanness; servility.
abjudge,to take away by judicial decision.
abjudicate,"to reject by judicial sentence; also, to abjudge."
abjudication,rejection by judicial sentence.
abjugate,to unyoke.
abjunctive,exceptional.
abjuration,"the act of abjuring or forswearing; a renunciation upon oath; as, abjuration of the realm, a sworn banishment, an oath taken to leave the country and never to return.-a solemn recantation or renunciation; as, an abjuration of heresy."
abjuratory,containing abjuration.
abjure,"to renounce upon oath; to forswear; to disavow; as, to abjure allegiance to a prince. to abjure the realm, is to swear to abandon it forever.-to renounce or reject with solemnity; to recant; to abandon forever; to reject; repudiate; as, to abjure errors.-to renounce on oath."
abjured,of abjure
abjurement,renunciation.
abjurer,one who abjures.
abjuring,of abjure
ablactate,to wean.
ablactation,"the weaning of a child from the breast, or of young beasts from their dam.-the process of grafting now called inarching, or grafting by approach."
ablaqueate,"to lay bare, as the roots of a tree."
ablaqueation,the act or process of laying bare the roots of trees to expose them to the air and water.
ablastemic,non-germinal.
ablation,a carrying or taking away; removal.-extirpation.-wearing away; superficial waste.
ablatitious,"diminishing; as, an ablatitious force."
ablative,"taking away or removing.-applied to one of the cases of the noun in latin and some other languages, -- the fundamental meaning of the case being removal, separation, or taking away.-the ablative case."
ablaut,"the substitution of one root vowel for another, thus indicating a corresponding modification of use or meaning; vowel permutation; as, get, gat, got; sing, song; hang, hung."
ablaze,"on fire; in a blaze, gleaming.-in a state of glowing excitement or ardent desire."
able,"fit; adapted; suitable.-having sufficient power, strength, force, skill, means, or resources of any kind to accomplish the object; possessed of qualifications rendering competent for some end; competent; qualified; capable; as, an able workman, soldier, seaman, a man able to work; a mind able to reason; a person able to be generous; able to endure pain; able to play on a piano.-specially: having intellectual qualifications, or strong mental powers; showing ability or skill; talented; clever; powerful; as, the ablest man in the senate; an able speech.-legally qualified; possessed of legal competence; as, able to inherit or devise property.-to make able; to enable; to strengthen.-to vouch for."
able-bodied,"having a sound, strong body; physically competent; robust."
able-minded,having much intellectual power.
ablegate,"to send abroad.-a representative of the pope charged with important commissions in foreign countries, one of his duties being to bring to a newly named cardinal his insignia of office."
ablegation,the act of sending abroad.
ablen,a small fresh-water fish (leuciscus alburnus); the bleak.
ableness,ability of body or mind; force; vigor.
ablepsy,blindness.
abler,comp. of able.-superl. of able.
ablet,alt. of ablen
abligate,to tie up so as to hinder from.
abligurition,prodigal expense for food.
ablins,perhaps.-perhaps; possibly.
abloom,in or into bloom; in a blooming state.
ablude,to be unlike; to differ.
abluent,washing away; carrying off impurities; detergent.-a detergent.
ablush,blushing; ruddy.
ablution,"the act of washing or cleansing; specifically, the washing of the body, or some part of it, as a religious rite.-the water used in cleansing.-a small quantity of wine and water, which is used to wash the priest's thumb and index finger after the communion, and which then, as perhaps containing portions of the consecrated elements, is drunk by the priest."
ablutionary,pertaining to ablution.
abluvion,that which is washed off.
ably,"in an able manner; with great ability; as, ably done, planned, said."
abnegate,to deny and reject; to abjure.
abnegated,of abnegate
abnegating,of abnegate
abnegation,a denial; a renunciation.
abnegative,denying; renouncing; negative.
abnegator,"one who abnegates, denies, or rejects anything."
abnet,the girdle of a jewish priest or officer.
abnodate,to clear (tress) from knots.
abnodation,the act of cutting away the knots of trees.
abnormal,not conformed to rule or system; deviating from the type; anomalous; irregular.
abnormalities,of abnormality
abnormality,the state or quality of being abnormal; variation; irregularity.-something abnormal.
abnormally,in an abnormal manner; irregularly.
abnormities,of abnormity
abnormity,departure from the ordinary type; irregularity; monstrosity.
abnormous,abnormal; irregular.
aboard,"on board; into or within a ship or boat; hence, into or within a railway car.-alongside; as, close aboard.-on board of; as, to go aboard a ship.-across; athwart."
abodance,an omen; a portending.
abode,"of abide-pret. of abide.-act of waiting; delay.-stay or continuance in a place; sojourn.-place of continuance, or where one dwells; abiding place; residence; a dwelling; a habitation.-an omen.-to bode; to foreshow.-to be ominous."
abodement,a foreboding; an omen.
aboding,a foreboding.
abolish,"to do away with wholly; to annul; to make void; -- said of laws, customs, institutions, governments, etc.; as, to abolish slavery, to abolish folly.-to put an end to, or destroy, as a physical objects; to wipe out."
abolishable,capable of being abolished.
abolished,of abolish
abolisher,one who abolishes.
abolishing,of abolish
abolishment,the act of abolishing; abolition; destruction.
abolition,"the act of abolishing, or the state of being abolished; an annulling; abrogation; utter destruction; as, the abolition of slavery or the slave trade; the abolition of laws, decrees, ordinances, customs, taxes, debts, etc."
abolitionism,the principles or measures of abolitionists.
abolitionist,"a person who favors the abolition of any institution, especially negro slavery."
abolitionize,to imbue with the principles of abolitionism.
aboma,a large south american serpent (boa aboma).
abomasum,alt. of abomasus
abomasus,"the fourth or digestive stomach of a ruminant, which leads from the third stomach omasum. see ruminantia."
abominable,"worthy of, or causing, abhorrence, as a thing of evil omen; odious in the utmost degree; very hateful; detestable; loathsome; execrable.-excessive; large; -- used as an intensive."
abominableness,the quality or state of being abominable; odiousness.
abominably,in an abominable manner; very odiously; detestably.
abominate,"to turn from as ill-omened; to hate in the highest degree, as if with religious dread; loathe; as, to abominate all impiety."
abominated,of abominate
abominating,of abominate
abomination,"the feeling of extreme disgust and hatred; abhorrence; detestation; loathing; as, he holds tobacco in abomination.-that which is abominable; anything hateful, wicked, or shamefully vile; an object or state that excites disgust and hatred; a hateful or shameful vice; pollution.-a cause of pollution or wickedness."
aboon,and adv. above.
aboral,"situated opposite to, or away from, the mouth."
abord,manner of approaching or accosting; address.-to approach; to accost.
aboriginal,"first; original; indigenous; primitive; native; as, the aboriginal tribes of america.-of or pertaining to aborigines; as, a hindoo of aboriginal blood.-an original inhabitant of any land; one of the aborigines.-an animal or a plant native to the region."
aboriginality,the quality of being aboriginal.
aboriginally,primarily.
aborigines,the earliest known inhabitants of a country; native races.-the original fauna and flora of a geographical area
aborsement,abortment; abortion.
aborsive,abortive.
abort,"to miscarry; to bring forth young prematurely.-to become checked in normal development, so as either to remain rudimentary or shrink away wholly; to become sterile.-an untimely birth.-an aborted offspring."
aborted,"brought forth prematurely.-rendered abortive or sterile; undeveloped; checked in normal development at a very early stage; as, spines are aborted branches."
aborticide,the act of destroying a fetus in the womb; feticide.
abortifacient,producing miscarriage.-a drug or an agent that causes premature delivery.
abortion,"the act of giving premature birth; particularly, the expulsion of the human fetus prematurely, or before it is capable of sustaining life; miscarriage.-the immature product of an untimely birth.-arrest of development of any organ, so that it remains an imperfect formation or is absorbed.-any fruit or produce that does not come to maturity, or anything which in its progress, before it is matured or perfect; a complete failure; as, his attempt proved an abortion."
abortional,pertaining to abortion; miscarrying; abortive.
abortionist,one who procures abortion or miscarriage.
abortive,"produced by abortion; born prematurely; as, an abortive child.-made from the skin of a still-born animal; as, abortive vellum.-rendering fruitless or ineffectual.-coming to naught; failing in its effect; miscarrying; fruitless; unsuccessful; as, an abortive attempt.-imperfectly formed or developed; rudimentary; sterile; as, an abortive organ, stamen, ovule, etc.-causing abortion; as, abortive medicines.-cutting short; as, abortive treatment of typhoid fever.-that which is born or brought forth prematurely; an abortion.-a fruitless effort or issue.-a medicine to which is attributed the property of causing abortion."
abortively,in an abortive or untimely manner; immaturely; fruitlessly.
abortiveness,the quality of being abortive.
abortment,abortion.
abought,imp. & p. p. of aby.-of abye
abound,to be in great plenty; to be very prevalent; to be plentiful.-to be copiously supplied; -- followed by in or with.
abounded,of abound
abounding,of abound
about,"around; all round; on every side of.-in the immediate neighborhood of; in contiguity or proximity to; near, as to place; by or on (one's person).-over or upon different parts of; through or over in various directions; here and there in; to and fro in; throughout.-near; not far from; -- determining approximately time, size, quantity.-in concern with; engaged in; intent on.-on the point or verge of; going; in act of.-concerning; with regard to; on account of; touching.-on all sides; around.-in circuit; circularly; by a circuitous way; around the outside; as, a mile about, and a third of a mile across.-here and there; around; in one place and another.-nearly; approximately; with close correspondence, in quality, manner, degree, etc.; as, about as cold; about as high; -- also of quantity, number, time.-to a reserved position; half round; in the opposite direction; on the opposite tack; as, to face about; to turn one's self about."
about-sledge,the largest hammer used by smiths.
above,"in or to a higher place; higher than; on or over the upper surface; over; -- opposed to below or beneath.-figuratively, higher than; superior to in any respect; surpassing; beyond; higher in measure or degree than; as, things above comprehension; above mean actions; conduct above reproach.-surpassing in number or quantity; more than; as, above a hundred. (passing into the adverbial sense. see above, adv., 4.)-in a higher place; overhead; into or from heaven; as, the clouds above.-earlier in order; higher in the same page; hence, in a foregoing page.-higher in rank or power; as, he appealed to the court above.-more than; as, above five hundred were present."
above-cited,"cited before, in the preceding part of a book or writing."
above-mentioned,alt. of above-named
above-named,mentioned or named before; aforesaid.
aboveboard,"above the board or table. hence: in open sight; without trick, concealment, or deception."
abovedeck,"on deck; and hence, like aboveboard, without artifice."
abovesaid,mentioned or recited before.
abox,braced aback.
