pregunta, respuesta
 ahora el numero nueve," no podemos, puedes pronunciar, no podemos, simplemente como"
 americano lo siento no podemos ingles britanico y para," El inglés americano enfatiza la primera sílaba del fin de semana, pero"
 Nunca pronuncies fin de semana porque fin de semana está bien, no podemos o no podemos ya sabes sabado y domingo
 um y el último um," Cuando veas este, tal vez puedas ver la similitud entre"
" La naturaleza es así, ¿por qué crees que es importante o simplemente algo del futuro o cosas así?"," Pero en realidad, este es maduro."
 madura madura o se puede pronunciar como t madura madura ok, madura cualquier cosa pero normalmente pronunciaría esta como madura madura
 Ch este, tura segura
 futuro futuro, característica característica
 naturaleza numero tres, coro tual
 cho en realidad," En realidad, perforar"
 perforar virtualmente, virtualmente s
 ción, pregunta pregunta
 sugerencia sugerencia, texto
" Hola, Renee, Sarah. ¿Me puedes ayudar? Seguro.", Gracias por tomar este papel rojo
 ok ¿qué estás haciendo?," Estoy colocando decoraciones para el año nuevo lunar, no sé nada sobre la luna."
 Año nuevo ¿cómo se celebra bien? En la víspera del año nuevo lunar las familias se reúnen, Luego juntos comen una gran comida.
 ¿Qué comes? Nosotros comemos, Fideos y albóndigas de pollo y pescado
 y los padres dan sobres rojos a sus, Sobres rojos para niños
 Los sobres tienen dinero dentro genial," También usamos ropa nueva, mira mi casa barata, es de mi mamá."
 Es realmente bonito ¿cómo se dice esa palabra otra vez?,Pow es un vestido tradicional chino
" El Año Nuevo Lunar suena interesante, puedo escribir sobre ello para el periódico.", Gran artículo sobre el restaurante también.
 Por qué este mes el restaurante tiene un nuevo lunar, Menú del año: servimos deliciosa comida china.
 Todo el mes bien, Puedo escribir sobre el restaurante pero
" Primero quiero un sobre rojo, te ves genial, cariño.", ¿Cuál es la ocasión? Muy divertida.
" ¿Por qué llevas pantalones cortos para correr esta noche, víspera del Año Nuevo Lunar?", ¿Te olvidaste que no?
 estamos cenando con mi familia no quiero ir, Bueno tenemos que ir a cambiarte de ropa te puse tu nueva
 ropa en tu bolso cariño, ¿Por qué llevo esto? Me siento tonto.
 Me gusta usar ropa tradicional china para el Año Nuevo Lunar. Será un..., Golpear en la cena bien
 No estoy muy emocionado por ver a mi hermano., El año nuevo lunar pasado siguió hablando de su dinero.
" Lo entiendo, pero él tiene familia, lo sé."," Vamos, feliz año nuevo lunar"
Tengo mucho trabajo que hacer ¿en qué estás trabajando?, Estoy escribiendo una columna sobre el año nuevo lunar.
" La fecha del año nuevo lunar cambia cada año. ¿Sabías que sí, sigue?", El calendario lunar es correcto
 El año nuevo lunar no es solo una festividad china. ¿Sabías que hay muchas otras?, Los países asiáticos también celebran el año nuevo el mismo día.
" Sí, Max, ¿cómo sabes todo esto cuando yo cocino?", Me gusta aprender sobre la comida de diferentes países y también sobre la cultura.
 Leer sobre otras culturas y comidas es genial., Los chinos llaman a su año nuevo chonjiye
" Y los coreanos lo llaman mascota y los vietnamitas lo llaman mascota, pero yo no.", ¿conoces mucho sus tradiciones? ¿conoces algunas tradiciones?
 ¿Las tres fiestas tienen las mismas tradiciones?," Tienen tradiciones similares en los tres países, la gente come una gran cantidad."
" Comer con sus familias es una tradición genial, entonces, ¿cuáles son algunas de las diferencias?"," La comida es diferente, a los coreanos les gusta la sopa de pastel de arroz vietnamita."
come arroz glutinoso con carne envuelto en hojas quiero probar, Hagamos que dejemos de hablar de comida.
" Tengo hambre, cocinaré algo de comida de Año Nuevo para nosotros.", Betty recoge una rata de peluche y se la da a Sarah porque es...
 El año de la rata Sarah también tiene un regalo para Betty., Betty está feliz pero un poco confundida cuando ve el
 regalo ella no está segura de qué es el regalo, Gracias eh
 ¿Qué es? Es una linterna de papel china.," Ahora es plano, levanta la parte superior y se abre."
" Vaya, ¿de dónde sacaste esta linterna?"," En el barrio chino de Chicago, fui allí con mi hermano anoche."
" Chicago, eso está lejos"," Debes haber conducido mucho tiempo, nos tomó dos horas, está bien."
" Nos divertimos, bueno, eso es bueno.", Comimos una cena de Nochevieja lunar en Chinatown.
" Siempre he querido ir a Chinatown, deberías ir.", Habrá un desfile del Año Nuevo Lunar el sábado. Max y yo vamos.
" ¿Habrá petardos? Sí, ¿quieres ir? ¿Está bien?",Estoy seguro de que podemos encontrar la mejor comida china allí.
" No lo creo, creo que Max cocina la mejor comida china."," Renee los escucha, están hablando del diario Max."
 A Simon especial no le gusta," Max no está contento con eso, le encanta su comida."
 Renee sonríe y camina hacia Max y Simon.," ¿Qué pasa, voz de Simon? No puedo apreciar la buena comida."
" Puedo apreciar la buena comida, pero no quiero esta comida.", ¿Qué le pasa a Simon? Bueno.
 Es extraño que lo sea," Sí, ¿qué tiene de extraño?"
" Simón, es viscoso y", huele un poco raro tambien huele bien para mi simon simon solo
" Pruébalo, sabe muy bien, pero vamos, Simón.", Un bocado no te hará daño y puede que te guste mucho.
" Está bien, hola"," Esto es realmente bueno, mi comida es buena."
" Sí, es Renée. Tráeme otro plato de esto."," Me encanta, está bien, cariño, ya voy."
" Hola Sarah, ¿cómo estuvo la escuela?", Estamos haciendo presentaciones sobre festivales mundiales.
Mi presentación es la semana que viene ¿de qué festival hablarás?, Carnaval de invierno en Quebec. Puedo hacer conos de nieve para todos.
" Gran idea, te puedo ayudar.", o puedes presentar el día de australia y hablar sobre las carreras de cucarachas que puedo
" Te ayudo, encontré algunas cucarachas"," Ben, trajiste cucarachas a nuestra casa."
" Sarah, están a salvo en la caja, no te preocupes.", ¿Cuándo es este carnaval de invierno en Quebec en febrero?
 Es el carnaval de invierno más grande del mundo., Hay muchos eventos culturales y tienen un desfile nocturno.
" Deberíamos irnos, no, gracias.", Me quedaré con mis nuevos amigos. Tal vez puedas visitar este carnaval de invierno.
 Un día trae mucha ropa abrigada, Ahora disfrutemos de algunos conos de nieve.
" Buen trabajo, estás listo para tu presentación."," Puedo ver que investigaste mucho, sí."
 Bien hecho," ¿Dónde están nuestros conos de nieve, Ben? Solo estoy practicando."
" Bien, vamos a comer conos de nieve en nuestro pequeño pueblo.", festival ¿qué festival?
Ben quiere tener un festival en un pueblo pequeño. ¿Qué opinas?," Creo que es una gran idea, tenemos nuestra propia cultura aquí, podemos..."
" Tenemos todo tipo de eventos, podemos tener un concurso de conversación rápida."," Betty ganaría, tienes razón."
 Puedo bailar y puedo hacer carreras de cucarachas., Lo que tengo mi caja de cucarachas
" Justo aquí, Ben.", Un restaurante no es el mejor lugar para aquellos
 y porque los tienes son para las carreras de cucarachas," Dijiste que podríamos tener todo tipo de eventos, eso es cierto."
 Sería una forma interesante de celebrar un pueblo pequeño., ¿Cuántas cucarachas hay ahí seis?
 ¿No quieres verlos a nadie?, dos tres cuatro cinco
 Uhone falta," Aquí está mi hermosa reportera junior, hola Betty."
" Hay algo diferente en ti, querida.", Sé que tu cabello es de un color diferente.
" No, mmm", ¿Eres más alto?
" No Betty, soy la misma de siempre.", te ves maravillosa gracias betty
" Entonces, ¿tienes alguna tarea para mí? Sí, la tengo.",Necesito un escritor para mi nueva columna de viajes y ¿me estás pidiendo que la escriba? Sí.
" Eres un excelente escritor, harás un buen trabajo."," Gracias Betty, ¿de qué trata mi primera columna?"
 Para tu primera columna quiero que escribas sobre la ciudad de Dubai.," Ciudad de Dubai, ¿dónde está eso?"
" Es una ciudad en el Medio Oriente, hay muchas cosas interesantes en ella."," En la ciudad de Dubai hay, por ejemplo,"
 Tienen un lugar para ir a esquiar dentro, Muy divertido
 Si y ahora mismo los trabajadores están construyendo el pájaro para comprar," Ese es el edificio más alto del mundo, genial."
 Me aseguraré de escribir sobre eso. ¿Puedes terminar esta tarea?," El jueves haré lo mejor que pueda, excelente, no puedo esperar."
 Para leerlo betty esta en la oficina de correos," Ella coge una bolsa grande, es muy pesada."
 Hay muchas cartas y paquetes dentro de la bolsa. Simon sonríe.," Está muy emocionado por su paquete, lo quiere ahora."
" Betty mira dentro de la bolsa, estoy mirando",Estoy buscando un paquete que no sea un paquete grande.
 ¿Está bien? ¿Tu nombre está en la caja o es el de Rene?, Nombre en la caja. Mi nombre está ahí. Simon Way.
" Hmm, eso es extraño. No veo ningún correo.", De verdad que sí
 ¿está seguro?," Aquí está todo bien, espera."
" Este no es mi paquete, es para Simon Monroe.", Lo siento
 Bueno tu paquete no está en esta bolsa, Déjame mirar atrás
 Aquí hay una revista para Renee pero no veo ningún paquete.," Ya está aquí, estoy seguro, lo siento."
 No puedo encontrar lo que hay en el paquete., oh
 Nada especial lo siento simon tu paquete no esta aqui," El correo es lento a veces, está bien."
 Otro camión de correo vendrá esta tarde., Vuelve después de las cuatro de verdad
" Gracias Betty, eres un buen cartero.", No soy cartero simon soy trabajador postal
" Bien, lo siento"," Bueno, eres un gran trabajador postal, gracias Simon."
" Disfruto ayudando a la gente la semana pasada, lo siento, tengo que irme ahora."," Nos vemos luego, hola cariño"
¿Fuiste a la oficina de correos?," ¿Estaba tu paquete allí? Sí, fui, pero mi paquete no estaba allí."
" Aún así, qué lástima", ¿Quieres almorzar aquí? Sí.
 Volveré a la oficina de correos si tengo tiempo esta tarde.," Bueno, tengo algunas tarjetas para enviar por correo. ¿Puedo entregártelas?"
" Claro, oye"," Estas tarjetas no tienen sobres ni sellos, sé que no tengo ninguno."
" ¿Puedes comprarme algunos sobres y sellos, querida?"," Bueno, ¿cuánto cuestan los sellos ahora?"
 Son 41 centavos cada uno Lo siento por tu paquete.," Tal vez esté allí cuando regreses, ¿qué paquete?"
" Nada, no es importante"," Es solo algo divertido, algo divertido."
 ¿Qué pasa cuando Simón lo consigue? El infierno te lo mostrará.," Está bien, me gusta recibir paquetes y cartas."
 Un amigo me escribe una carta cada mes., ¿Por qué no usas el correo electrónico de ninguna manera?
" Me gusta encontrar cartas en mi buzón, hola Betty."," No estamos abiertos todavía, está bien."
 Solo tengo un mensaje para Simon. Encontré su paquete genial.,¿Dónde está en Alaska?
 ¿Qué por qué?, El remitente lo envió a la dirección incorrecta. La oficina de correos rastreó su paquete.
" cariño, voy a llamar a las chicas hoy para hacer ejercicio sobre tus dvd", DVD de ejercicios para niñas
 Pedí algunos DVD de ejercicios para chicas., tienen ejercicios muy buenos para mi espalda simon esta avergonzado porque los dvds
 son para mujeres," Los ejercicios también funcionan para los hombres. Está bien, Simon. Yo también uso ejercicios para chicas."
 Realmente sí," Podemos hacer ejercicio juntos, Sarah."
 ¿Cómo estás? ¿Cómo está tu novio?," Betty, sabes que no tengo novio, lo sé."
 pero algún día te arrepentirás," Hice demasiadas preguntas personales, no me importa."
" Adivina qué, acabo de empezar un blog sobre la vida en", Pueblo pequeño genial ¿escribes sobre mí?
 Por supuesto que tengo que escribir sobre nuestra publicación de ciudades., Señora y editora del periódico de nuestra ciudad. Así es.
" Hola chicas, ufff", Mi vendedor favorito ¿qué estás vendiendo hoy?
"Bueno, ya sabes que siempre que vengo a la ciudad traigo algo interesante.", Sabemos bien que hoy no es diferente
 Aquí un libro, abrelo hey
" No hay páginas en este libro, así es, no leas este libro."," Guardas cosas allí, no, gracias."
" Algún día me comprarás algo, Betty.", Tal vez el número cuatro suavemente suavemente suavemente
" Bueno, el batido es la mezcla de frutas y helado o leche.", batido batido numero cinco batido de leche batido de leche el batido de leche es la mezcla de
 helado o leche con sabor a frutas vale y luego los agitamos hasta que quede, Batido de leche lleno de burbujas
 numero seis leche leche," Número siete, cóctel, cola de corcho, cuento, inglés americano"
 Inglés británico largo o cóctel, El cóctel cóctel es una mezcla de jugo de frutas.
 y una especie de," Bebidas alcohólicas fuertes, cócteles, ocho coca cola o cola."
" Coca-Cola o cola ¿conoces Coca-Cola? Vale, lo mismo.", refresco de color
 cerveza gaseosa,limonada de cerveza la limonada es igual que
 jugo de limón está bien limonada agua mineral el agua mineral es la, agua natural agua mineral chocolate caliente chocolate caliente a la gente le gusta
" Para beber esto en invierno porque es duro y hace calor, ¿vale? Chocolate caliente.", vino vino
 champán champán recuerda esto es ch pero nosotros," No pronuncies como pollo, vale, esto es"
 champán champán, Generalmente bebemos champán para el año nuevo.
" agua de coco agua de coco bien, una vez más, alise suavemente el", malteada malteada
 leche leche, cóctel cóctel coca cola
 refresco de color, limonada de cerveza
 agua mineral limonada agua mineral, chocolate caliente chocolate caliente
 vino vino champán, agua de coco con champán agua de coco
 Ahora vamos a algunas preguntas y respuestas ¿Qué tipo de bebida?," El mismo significado con beber, ¿de acuerdo? ¿Qué tipo de bebida bebes habitualmente?"
 ¿Qué tipo de bebida bebes habitualmente? Yo suelo beber leche. Yo suelo beber...,bebe leche sabes como hacer limonada que
 significa ¿puedes hacer limonada? ¿sabes cómo hacer limonada? si, Por supuesto que sí. Por supuesto que sí. Es muy fácil de hacer. Es muy fácil de hacer.
" Por supuesto que sí, es muy fácil de decir lo siento, no sé lo siento, no sé", ¿Es este el? ¿Es este cóctel bueno? ¿Es este?
 cóctel bueno sí lo es unirlos ayer, Muy rico ayer esta muy rico
" En realidad no, está bien En realidad no, está bien", texto
 Me encanta la playa meku hey roger, ¿Esta playa tiene salvavidas lindos? No lo sé.
" ¿Cómo digo ayuda, me estoy ahogando?", En chino puedes simplemente decir
" Jo Ming, ¿puedes nadar, Patty?"," Sí, pero tal vez pueda practicar chino con un"
 Linda socorrista Patty ¿necesitas protector solar Daisy?," Puedo ponértelo en la espalda, no gracias, primero quiero broncearme."
 ¿Por qué mi piel es demasiado blanca?," Roger, ¿quieres un poco de protector solar? Todavía no, voy a entrar al agua primero. ¿Quieres?"
" Chicas, venid, vamos.","Eso fue divertido, me encanta el océano."
 Yo también nadar es divertido," Me gusta más nadar en una piscina, aunque el agua está más limpia y no tiene"
" Tiene sal, bueno, no tienes que beber el agua del océano."," No intenté beberlo, me salpicaste, el agua entró en mi boca."
" Lo siento, no, no lo eres, tienes razón.", No hay mucha gente en el océano hoy en día.
" Tal vez a los chinos no les gusta nadar. No, estás equivocado.", Veo gente china en la piscina todo el tiempo.
 Algunos de ellos son grandes nadadores.," Bueno, tal vez no estén aquí para nadar."
 Tal vez sólo vienen a la playa a divertirse.," Por eso estamos aquí. Hola chicos, vamos a dar un paseo por el..."
 Playa bien," Voy a quedarme aquí sobre mi toalla un rato más, quiero broncearme."
" Ven, puedes venir con nosotros y broncearte en el"," Al mismo tiempo, está bien."
 Pero primero ambos realmente necesitan ponerse algo, Loción bronceadora que fue un paseo divertido paddy
pero las rocas de la playa me lastiman los pies ¿por qué no te pusiste sandalias? te lo dije, y yo también tengo calor
 Caminamos mucho tiempo lo hicimos," Pero encontré algunas rocas bonitas, me alegro, pero vamos a nadar ahora."
" Quiero refrescarme, eso suena bien. Vamos a nadar otra vez."," espera, primero tómate una foto, ¿de acuerdo?"
 Patty ¿vienes con nosotros?," No, ahora quiero buscar más rocas bonitas."
 ¿Los coleccionas? Sí, Mi hermano y yo siempre recogemos conchas y piedras cuando vamos a la playa.
 divertido ¿quieres ayuda? podemos buscar," Más rocas contigo, está bien, ustedes dos vayan a nadar."
" Lo siento, lo dije en serio.", ella meguian c estas bien hablas ingles
" Hola, ¿te conozco? Sí, hola Patty, soy Derek."," Me viste en la casa de té, ¿verdad?"
" Hola, te ves diferente con gafas de sol."," Lamento haberte topado, está bien. ¿También estás buscando rocas?"
" No, estoy buscando mi reloj, lo perdí.", lo siento hola te puedo ayudar podemos buscarlo
 Juntos ok gracias,Lo siento si no encontraste tu reloj derrick
